universe,symbol,timeframe,ma_window,split,n_trades,win_rate,profit_factor,total_return_pct,t_stat
stocks_mt5,AVGO,30m,50,TRAIN,63,34.92063492063492,1.2952750336774428,17.655725258619427,0.8542556910493924
stocks_mt5,AVGO,30m,50,TEST,22,27.27272727272727,1.1872873589740824,3.215547329521562,0.2508734811212091
stocks_mt5,INTC,15m,20,TRAIN,245,42.857142857142854,1.5237327696529828,118.11019845826758,2.1041464394240035
stocks_mt5,INTC,15m,20,TEST,87,47.12643678160919,1.6324159371699387,51.58465799396683,1.9238942009864197
stocks_mt5,INTC,15m,50,TRAIN,142,35.2112676056338,1.174216053327907,19.16643284030688,0.8036489684907567
stocks_mt5,INTC,15m,50,TEST,42,30.952380952380953,1.4016874597498985,18.112160282457857,0.8317456938491895
stocks_mt5,INTC,30m,20,TRAIN,121,41.32231404958678,1.206958441621351,22.61028039156361,0.6956031784875004
stocks_mt5,INTC,30m,20,TEST,37,37.83783783783784,0.8445979302220108,-10.471773163053077,-0.4738286182319164
stocks_mt5,INTC,30m,50,TRAIN,65,36.92307692307693,1.1584204061663828,10.568396676653258,0.48312142189113705
stocks_mt5,INTC,30m,50,TEST,26,38.46153846153847,1.228940129981069,8.236969491299151,0.456253561657334
stocks_mt5,MU,15m,20,TRAIN,259,44.01544401544402,1.5040253275616695,122.41284052203466,2.480468374661368
stocks_mt5,MU,15m,20,TEST,91,41.75824175824176,1.5144799113827578,44.9268416957699,1.488457841061232
stocks_mt5,MU,15m,50,TRAIN,127,31.496062992125985,1.102359060020403,8.612039089312118,0.44116201642844427
stocks_mt5,MU,15m,50,TEST,47,31.914893617021278,1.3771890072817954,20.94841835467298,0.875080035240273
stocks_mt5,MU,30m,20,TRAIN,109,36.69724770642202,0.8237679949940392,-24.350520454271376,-0.9097938718784082
stocks_mt5,MU,30m,20,TEST,38,47.368421052631575,1.0879674542049387,2.727090504374985,0.22718272907852527
stocks_mt5,MU,30m,50,TRAIN,69,27.536231884057973,0.9673185248617483,-8.811855738673124,-0.10906868835689455
stocks_mt5,MU,30m,50,TEST,21,23.809523809523807,0.7060169960635585,-15.084573494612584,-0.6997799084492725
stocks_mt5,NVDA,15m,20,TRAIN,268,45.149253731343286,1.3230476875188104,36.319705414030025,1.938976271387247
stocks_mt5,NVDA,15m,20,TEST,83,38.55421686746988,1.0518873681747238,1.4643891711226154,0.19446026981506956
