direction,channel_k,stop_atr,dca_step,IS_年化,OOS_年化,OOS_獲利比,OOS_MDD,OOS_夏普,OOS_交易數
long,2.0,6.0,2.0,0.23024001379774697,0.3240109425987915,88.88888888888889,0.381020302362295,0.9550516178858365,27.38888888888889
long,2.5,3.0,1.0,0.15164963773031176,0.3988872985028517,88.88888888888889,0.39870111250046203,0.9628195609543191,24.166666666666668
long,2.5,3.0,1.5,0.12145137433954598,0.27395016144910284,88.88888888888889,0.31017108803452553,0.8823853617747796,25.11111111111111
long,2.5,3.0,2.0,0.10905516857372029,0.27859358068435847,88.88888888888889,0.23925929384782924,1.0264962897035879,24.444444444444443
long,2.5,4.0,1.0,0.04732752837933976,0.5609693187708505,94.44444444444444,0.4140489249245637,1.163154564356308,21.444444444444443
long,2.5,4.0,1.5,0.12879799207825746,0.4627779923725459,88.88888888888889,0.30483436288299304,1.2082961529673646,21.555555555555557
long,2.5,4.0,2.0,0.12436616289109365,0.30078040742401785,88.88888888888889,0.2607888598573966,1.0729373556336201,22.166666666666668
long,2.5,6.0,1.0,0.15674588536608736,0.5072140666612182,88.88888888888889,0.4823128933408884,1.0523293354454164,20.444444444444443
long,2.5,6.0,1.5,0.16956970309351332,0.48604139257756374,88.88888888888889,0.3794770501811222,1.1957318264870078,20.0
long,2.5,6.0,2.0,0.12343635482088956,0.35891939958056507,88.88888888888889,0.31934977513759416,1.0929071179616745,20.11111111111111
long,3.0,3.0,1.0,0.12957292854660876,0.4080979094965594,94.44444444444444,0.3419299531932485,1.0490284620550983,17.833333333333332
long,3.0,3.0,1.5,0.1263232704775784,0.28800254310127404,88.88888888888889,0.28204778178953566,0.9689538380814413,18.333333333333332
long,3.0,3.0,2.0,0.11500601593348067,0.2675173896346188,88.88888888888889,0.22070492018702195,1.0486111480314433,18.0
long,3.0,4.0,1.0,-0.004988728294309642,0.46549728219035735,88.88888888888889,0.40009155038812183,1.0489455871093025,16.055555555555557
long,3.0,4.0,1.5,0.07067875116848724,0.36772104828756147,88.88888888888889,0.29846560632613695,1.0657500968624396,16.0
long,3.0,4.0,2.0,0.09681762101686352,0.27469345397043893,83.33333333333334,0.23767455399286064,1.0503530618646413,16.555555555555557
long,3.0,6.0,1.0,0.11213144002699559,0.5048528884729546,88.88888888888889,0.40648180410450613,1.09258555677239,15.055555555555555
long,3.0,6.0,1.5,0.08949761406895197,0.44084665551509744,94.44444444444444,0.32516430671638163,1.1925690540092002,14.777777777777779
long,3.0,6.0,2.0,0.13805834578339404,0.33399944361251305,94.44444444444444,0.2771205642691475,1.083694461128456,14.833333333333334
both,1.5,3.0,1.0,0.19686781826362842,0.42370424127127215,83.33333333333334,0.6545470553080793,0.6447544120063468,93.0
both,1.5,3.0,1.5,0.21359438157622648,0.3025561042731446,83.33333333333334,0.502015022044077,0.6600608125996617,96.0
both,1.5,3.0,2.0,0.3025399563952005,0.33313424163290295,88.88888888888889,0.40236224744201576,0.7990147426734706,94.22222222222223
both,1.5,4.0,1.0,0.06045798393279283,0.5245427376819046,83.33333333333334,0.7918393915352134,0.6936642188515769,84.5
both,1.5,4.0,1.5,0.08317107632466428,0.5930224444137144,94.44444444444444,0.5262770299347157,0.9740575568658415,84.72222222222223
both,1.5,4.0,2.0,0.1433959086323544,0.28446522078563957,83.33333333333334,0.4463105341543656,0.6535165774952687,87.77777777777777
both,1.5,6.0,1.0,0.2490252686120557,0.649835064121506,77.77777777777779,0.8251578284661505,0.7725577013979339,80.05555555555556
both,1.5,6.0,1.5,0.21133478606235293,0.7023930376690314,88.88888888888889,0.6779065814291775,0.9656883699045795,78.83333333333333
both,1.5,6.0,2.0,0.31114907390195806,0.4904668379038191,83.33333333333334,0.5650573514337398,0.8503300053817451,79.55555555555556
both,2.0,3.0,1.0,0.1315736163890086,0.41694887553762483,77.77777777777779,0.6116741954496745,0.6854834222611417,66.5
both,2.0,3.0,1.5,0.17457175504406544,0.3364151623839116,88.88888888888889,0.44443354429281706,0.7473908002534482,68.94444444444444
both,2.0,3.0,2.0,0.19619072738394916,0.30562143459103885,83.33333333333334,0.3728881406588279,0.7614611501726462,67.61111111111111
both,2.0,4.0,1.0,0.011352463788473334,0.5846667113465362,77.77777777777779,0.7010644503585247,0.8018066605139437,59.55555555555556
both,2.0,4.0,1.5,0.1241614989869275,0.5161034925912146,88.88888888888889,0.5054069419235697,0.9076168977159438,60.05555555555556
both,2.0,4.0,2.0,0.13772507805503492,0.26278506459788814,77.77777777777779,0.45807049587441917,0.6016875972735278,62.111111111111114
both,2.0,6.0,1.0,0.14433642949420178,0.5906642893460101,83.33333333333334,0.7992275124927197,0.764822454421423,56.111111111111114
both,2.0,6.0,1.5,0.12328143264339435,0.590473619563012,83.33333333333334,0.6603149141561169,0.8941442082000454,54.94444444444444
both,2.0,6.0,2.0,0.3036048313741466,0.37358234080892994,72.22222222222221,0.5435021815702243,0.7283910528385625,55.611111111111114
both,2.5,3.0,1.0,0.06456533933691883,0.361788236725219,77.77777777777779,0.5812705067036027,0.6651904218022809,49.72222222222222
both,2.5,3.0,1.5,0.10150000118136554,0.23321088009078336,77.77777777777779,0.43072048104373767,0.5850266034908191,51.94444444444444
both,2.5,3.0,2.0,0.07613747984434655,0.29290400765302144,77.77777777777779,0.3421069609034485,0.7940726717401251,50.333333333333336
both,2.5,4.0,1.0,-0.03498700434210497,0.6480442597460765,77.77777777777779,0.6118936944784111,0.9229248806849455,43.666666666666664
both,2.5,4.0,1.5,0.07820484105485748,0.5095016179779673,94.44444444444444,0.4465377774529517,0.9226500391869202,44.111111111111114
both,2.5,4.0,2.0,0.09866255946778134,0.2853751262892939,77.77777777777779,0.4007768323132162,0.7148782154059261,45.611111111111114
both,2.5,6.0,1.0,0.11291225071463937,0.5444914995767399,77.77777777777779,0.7321082473556824,0.786171496974408,41.333333333333336
both,2.5,6.0,1.5,0.13125501295572095,0.5399631976123592,83.33333333333334,0.5809965536643144,0.8890809038434847,40.27777777777778
both,2.5,6.0,2.0,0.14178982870779086,0.3478041249701654,77.77777777777779,0.50375938101791,0.73961696241583,40.888888888888886
both,3.0,3.0,1.0,0.07172799712716646,0.43364375035267533,83.33333333333334,0.5043297658367146,0.8757362023744443,38.27777777777778
both,3.0,3.0,1.5,0.07526506600454533,0.2985756491216734,77.77777777777779,0.38911508780906495,0.8059074227741014,39.611111111111114
both,3.0,3.0,2.0,0.07339136121434528,0.30020612237881306,77.77777777777779,0.3299768556987484,0.8728633369109772,38.72222222222222
both,3.0,4.0,1.0,-0.0775332070135051,0.5527315477340754,83.33333333333334,0.5501965360089948,0.9200122036729054,33.888888888888886
both,3.0,4.0,1.5,0.038015518336122676,0.4385137483263536,83.33333333333334,0.4158208346090741,0.9157304179194996,34.0
both,3.0,4.0,2.0,0.04074620633214473,0.29396457085299726,72.22222222222221,0.35810009324635217,0.8354762898185162,35.333333333333336
both,3.0,6.0,1.0,0.12522690367875516,0.567361612013371,77.77777777777779,0.6399667369374762,0.8938567793773728,31.61111111111111
both,3.0,6.0,1.5,0.040765192920070054,0.55540805517295,88.88888888888889,0.5022816021900189,1.0491529998418796,30.833333333333332
both,3.0,6.0,2.0,0.13463849687213653,0.42405538894454486,88.88888888888889,0.4161679725931005,0.96170685528798,31.055555555555557
